City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
241,Descalvado,BR,-21.9039,-47.6194,81.48,72,98,2.91,overcast clouds
242,North Bend,US,43.4065,-124.2243,47.25,76,75,18.41,broken clouds
243,Okha,RU,53.5739,142.9478,8.8,79,100,16.98,overcast clouds
244,Cherskiy,RU,68.75,161.3,-31.56,97,5,5.12,clear sky
245,Santa Rosa,PH,14.3122,121.1114,79.11,78,98,17.87,overcast clouds
246,Mahenge,TZ,-8.6833,36.7167,67.1,65,100,3.04,overcast clouds
247,Hailakandi,IN,24.6833,92.5667,58.77,33,0,4.07,clear sky
248,Myaundzha,RU,63.0494,147.1858,-25.31,99,100,1.43,overcast clouds
249,Cacak,RS,43.8914,20.3497,31.6,97,100,3.33,snow
250,Great Bend,US,38.3645,-98.7648,66.61,47,0,19.57,clear sky
251,Avera,US,33.194,-82.5271,76.51,53,99,14.25,overcast clouds
252,Leh,IN,34.1667,77.5833,10.33,90,94,1.81,overcast clouds
253,Eureka,US,40.8021,-124.1637,47.25,79,98,1.99,overcast clouds
254,Devils Lake,US,48.1128,-98.8651,19.51,78,0,14.97,clear sky
255,Bemidji,US,47.4736,-94.8803,28.89,44,0,11.5,clear sky
256,Marathon,US,44.9,-89.7668,30.65,44,0,6.91,clear sky
257,Naze,JP,28.3667,129.4833,56.32,64,100,17.36,overcast clouds
258,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,76.39,73,83,17.4,broken clouds
259,Salto De Agua,MX,17.6167,-92.3667,86.76,54,0,10.33,clear sky
260,Sena Madureira,BR,-9.0656,-68.6569,89.29,55,87,2.28,overcast clouds
261,Sabang,ID,5.8933,95.3214,81.84,75,38,24.63,scattered clouds
262,Saint-Louis,SN,16.3333,-15.0,89.24,16,90,9.78,overcast clouds
263,Mnogovershinnyy,RU,53.9353,139.9242,4.19,95,100,8.34,overcast clouds
264,Anadyr,RU,64.75,177.4833,-10.7,76,100,13.42,heavy snow
265,La Union,PE,-5.4,-80.75,87.3,51,100,13.33,overcast clouds
266,Necochea,AR,-38.5473,-58.7368,68.16,40,1,17.63,clear sky
267,Pimentel,PE,-6.8367,-79.9342,82.69,61,75,12.66,broken clouds
268,Katangli,RU,51.7102,143.2326,2.62,87,100,6.73,overcast clouds
269,Estevan,CA,49.1334,-102.9842,28.74,73,0,14.97,clear sky
270,Nobres,BR,-14.7203,-56.3275,89.2,55,83,0.63,broken clouds
271,Nisia Floresta,BR,-6.0911,-35.2086,86.81,63,2,10.87,clear sky
272,Airai,TL,-8.9266,125.4092,59.67,95,100,4.54,moderate rain
273,Yerbogachen,RU,61.2767,108.0108,9.95,92,100,10.09,overcast clouds
274,Vestmanna,FO,62.1564,-7.1664,43.72,81,100,10.36,overcast clouds
275,Gubkinskiy,RU,64.434,76.5026,-4.88,98,78,8.14,broken clouds
276,Namibe,AO,-15.1961,12.1522,74.84,78,92,2.57,overcast clouds
277,Sili,CN,28.4,117.1667,39.38,70,0,5.46,clear sky
278,Xuanhua,CN,40.6103,115.0447,32.36,59,18,2.73,few clouds
279,Touros,BR,-5.1989,-35.4608,82.78,69,2,13.53,clear sky
280,Ilfracombe,GB,51.2093,-4.1134,43.84,69,7,8.01,clear sky
281,Potong,PH,12.3362,125.285,75.85,93,96,13.87,overcast clouds
282,Codrington,AU,-38.2667,141.9667,59.23,84,100,11.52,overcast clouds
